,Date,Open,High,Low,Close,Adj Close,Volume
8738,2015-08-06,115.970001,116.5,114.120003,115.129997,108.73683899999999,52903000.0
8739,2015-08-07,114.58000200000001,116.25,114.5,115.519997,109.105186,38670400.0
8740,2015-08-10,116.529999,119.989998,116.529999,119.720001,113.071976,54951600.0
8741,2015-08-11,117.809998,118.18,113.33000200000001,113.489998,107.18789699999999,97082800.0
8742,2015-08-12,112.529999,115.41999799999999,109.629997,115.239998,108.840721,101217500.0
8743,2015-08-13,116.040001,116.400002,114.540001,115.150002,108.75573,48535800.0
8744,2015-08-14,114.32,116.309998,114.010002,115.959999,109.52076000000001,42929500.0
8745,2015-08-17,116.040001,117.650002,115.5,117.160004,110.654129,40884700.0
8746,2015-08-18,116.43,117.440002,116.010002,116.5,110.03076899999999,34560700.0
8747,2015-08-19,116.099998,116.519997,114.68,115.010002,108.62352,47445700.0
8748,2015-08-20,114.08000200000001,114.349998,111.629997,112.650002,106.394554,68501600.0
8749,2015-08-21,110.43,111.900002,105.650002,105.760002,99.887169,128275500.0
8750,2015-08-24,94.870003,108.800003,92.0,103.120003,97.393753,162206300.0
8751,2015-08-25,111.110001,111.110001,103.5,103.739998,97.979347,103601600.0
8752,2015-08-26,107.089996,109.889999,105.050003,109.690002,103.59893000000001,96774600.0
8753,2015-08-27,112.230003,113.239998,110.019997,112.91999799999999,106.64956699999999,84616100.0
8754,2015-08-28,112.16999799999999,113.309998,111.540001,113.290001,106.999008,53164400.0
8755,2015-08-31,112.029999,114.529999,112.0,112.760002,106.49845900000001,56229300.0
8756,2015-09-01,110.150002,111.879997,107.360001,107.720001,101.73831899999999,76845900.0
8757,2015-09-02,110.230003,112.339996,109.129997,112.339996,106.10176100000001,61888800.0
8758,2015-09-03,112.489998,112.779999,110.040001,110.370003,104.241173,53233900.0
8759,2015-09-04,108.970001,110.449997,108.510002,109.269997,103.202232,49996300.0
8760,2015-09-08,111.75,112.559998,110.32,112.309998,106.073448,54843600.0
8761,2015-09-09,113.760002,114.019997,109.769997,110.150002,104.033386,85010800.0
8762,2015-09-10,110.269997,113.279999,109.900002,112.57,106.319,62892800.0
8763,2015-09-11,111.790001,114.209999,111.760002,114.209999,107.867943,49915500.0
8764,2015-09-14,116.58000200000001,116.889999,114.860001,115.309998,108.90684499999999,58363400.0
8765,2015-09-15,115.93,116.529999,114.41999799999999,116.279999,109.82298999999999,43341200.0
8766,2015-09-16,116.25,116.540001,115.440002,116.410004,109.945747,37173500.0
8767,2015-09-17,115.660004,116.489998,113.720001,113.91999799999999,107.59403200000001,64112600.0
8768,2015-09-18,112.209999,114.300003,111.870003,113.449997,107.150131,74285300.0
8769,2015-09-21,113.66999799999999,115.370003,113.660004,115.209999,108.812408,50222000.0
8770,2015-09-22,113.379997,114.18,112.519997,113.400002,107.10291299999999,50346200.0
8771,2015-09-23,113.629997,114.720001,113.300003,114.32,107.97183999999999,35756700.0
8772,2015-09-24,113.25,115.5,112.370003,115.0,108.61405900000001,50219500.0
8773,2015-09-25,116.440002,116.690002,114.019997,114.709999,108.34016399999999,56151900.0
8774,2015-09-28,113.849998,114.57,112.440002,112.440002,106.196205,52109000.0
8775,2015-09-29,112.83000200000001,113.510002,107.860001,109.059998,103.003914,73365400.0
8776,2015-09-30,110.16999799999999,111.540001,108.730003,110.300003,104.175049,66473000.0
8777,2015-10-01,109.07,109.620003,107.309998,109.58000200000001,103.49503299999999,63929100.0
8778,2015-10-02,108.010002,111.010002,107.550003,110.379997,104.25061,58019800.0
8779,2015-10-05,109.879997,111.370003,109.07,110.779999,104.628387,52064700.0
8780,2015-10-06,110.629997,111.739998,109.769997,111.309998,105.12896,48196800.0
8781,2015-10-07,111.739998,111.769997,109.410004,110.779999,104.628387,46765600.0
8782,2015-10-08,110.190002,110.190002,108.209999,109.5,103.419472,61979600.0
8783,2015-10-09,110.0,112.279999,109.489998,112.120003,105.893997,52766100.0
8784,2015-10-12,112.730003,112.75,111.440002,111.599998,105.40287,30467200.0
8785,2015-10-13,110.82,112.449997,110.68,111.790001,105.582298,33049300.0
8786,2015-10-14,111.290001,111.519997,109.559998,110.209999,104.09005,44462400.0
8787,2015-10-15,110.93,112.099998,110.489998,111.860001,105.648422,37673500.0
8788,2015-10-16,111.779999,112.0,110.529999,111.040001,104.873962,39232600.0
8789,2015-10-19,110.800003,111.75,110.110001,111.730003,105.52565,29759200.0
